Unnamed: 0,id,title,url,minutes,ingredients_ids,ingredients_names,calories
445,638940,Chocolate Chip Peanut Butter Banana Cookies,https://spoonacular.com/chocolate-chip-peanut-butter-banana-cookies-638940,45,"[18371, 18372, 9040, 19334, 1001, 10019146, 2010, 10116098, 1123, 20081, 19335, 2047, 2050]","['baking powder', 'baking soda', 'bananas', 'brown sugar', 'butter', 'chocolate chips', 'cinnamon', 'creamy peanut butter', 'egg', 'flour', 'granulated sugar', 'salt', 'vanilla']",167
446,636558,Buttermilk Onion Rings,https://spoonacular.com/buttermilk-onion-rings-636558,45,"[11294, 20081, 18371, 2047, 1123, 1230, 18079, 10018079, 2047, 4513, 1016168, 93772]","['vidalia onion', 'flour', 'baking powder', 'salt', 'egg', 'buttermilk', 'dry bread crumbs', 'panko bread crumbs', 'salt', 'vegetable oil', 'sriracha chili sauce', 'Crema Mexicana']",3262
447,635869,Braised Smoky Pork With Fresh Pappardelle,https://spoonacular.com/braised-smoky-pork-with-fresh-pappardelle-635869,45,"[10958, 1012047, 4582, 1089003, 11282, 11124, 11143, 11215, 2049, 1012028, 11887, 14106, 6970, 1002068, 19296, 93820, 1102047, 10120409, 11297, 1034053, 2049]","['boneless pork shoulder', 'sea-salt', 'canola oil', 'granny smith apple', 'onion', 'carrots', 'celery', 'garlic cloves', 'thyme sprigs', 'smoked paprika', 'tomato paste', 'dry white wine', 'low sodium chicken broth', 'champagne vinegar', 'honey', 'mascarpone cheese', 'salt and pepper', 'pappardelle', 'fresh flat leaf parsley', 'extra virgin olive oil', 'fresh thyme leaves']",1217
448,639114,Chocolate Nutella Walnut Cake,https://spoonacular.com/chocolate-nutella-walnut-cake-639114,45,"[1123, 19335, 12155, 19125, 19904, 1001, 20081, 18371, 2047]","['eggs', 'sugar', 'walnuts', 'nutella', 'dark chocolate', 'butter', 'flour', 'baking powder', 'salt']",447
449,664708,Vegetarian Spring Rolls With Garlic Lime Sauce,https://spoonacular.com/vegetarian-spring-rolls-with-garlic-lime-sauce-664708,45,"[11250, 11124, 11216, 6175, 6175, 11603, 9159, 11821, 10118368, 10118368, 1012044, 11951, None]","['butter leaf lettuce', 'carrots', 'ginger', 'hoisin sauce', 'hoisin sauce', 'jicama', 'lime', 'red bell pepper', 'rice paper', 'spring roll paper', 'thai basil', 'yellow bell pepper', 'saracha']",133
450,636641,Cabbage and sausages in beer,https://spoonacular.com/cabbage-and-sausages-in-beer-636641,45,"[14003, 1001, 11109, 11282, 10211821, 11352, 2047, 7916, 19335]","['beer', 'butter', 'green cabbage', 'onion', 'bell pepper', 'potatoes', 'salt', 'smoked sausages', 'sugar']",506
451,634486,BBQ Beef Brisket,https://spoonacular.com/bbq-beef-brisket-634486,45,"[13023, 1102047, 4582, 2026, 1022020, 1012028, 1002014, 2031, 6150, 19334, 20027]","['beef brisket', 'salt and pepper', 'oil', 'onion powder', 'garlic powder', 'smoked paprika', 'cumin', 'cayenne pepper', 'barbecue sauce', 'brown sugar', 'cornstarch']",514
452,645265,Great Greek Salad,https://spoonacular.com/great-greek-salad-645265,45,"[11206, 1019, 1009195, 10211529, 11956, 10011282, 1022053, 1042027]","['cucumbers', 'feta cheese', 'kalamata olives', 'roma tomatoes', 'oil packed sun dried tomatoes', 'red onion', 'rice vinegar', 'seasoning']",262
453,652332,Monastery soup,https://spoonacular.com/monastery-soup-652332,45,"[11352, 11282, 11215, 4584, 11124, 11246, 11143, 16053, 6615, 11297, 1102047]","['potatoes', 'onion', 'garlic', 'sunflower oil', 'carrots', 'leek', 'celery', 'broad beans', 'vegetable stock', 'parsley', 'salt and pepper']",258
454,634545,Beans Hawaiian,https://spoonacular.com/beans-hawaiian-634545,45,"[16037, 6112, 16124, 9273, 19334, 11216, 10123, 11282, 11215, 9266, 10149]","['dried navy beans', 'teriyaki sauce', 'soy sauce', 'pineapple juice', 'brown sugar', 'ginger', 'bacon', 'onion', 'garlic clove', 'pineapple', 'ham steak']",442
